,title,location,price,url,listing_id,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Air conditioning,Alarm,Balcony,Built-in wardrobe,Car park,Children's area,Garden,Internet,Security,Swimming pool,Tennis court,Terrace,Utility room,price_per_sqm
10,,"Quezon City, Metro Manila",75000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pansol-metro-manila_521a7d94d0de-2b9f-7cc2-54d0-f15c8089,DS88-001822,5.0,4.0,400.0,502 m2,,"5 Bedroom House for sale in Pansol, Metro Manila",14.6544878,121.0862184,"Loyola Grand Villas, Soliven III Avenue, Quezon City, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,1,0,0,0,0,0,0,0,0,187500.0
11,,"Quezon City, Metro Manila",21600000.0,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bahay-toro-metro-manila-near-lrt-1-roosevelt_47d6d7f407a0-2ab1-5b25-901d-d6444659,200257,4.0,3.0,250.0,87 m2,3.0,"4 Bedroom House for sale in Bahay Toro, Metro Manila near LRT-1 Roosevelt",14.66280725,121.01792296,"Pangilinan Drive, Bahay Toro, Quezon City, Metro Manila, National Capital Region, PHL","['Swimming pool', 'Internet', 'Security', 'Car park', 'Balcony', ""Children's area"", 'Electricity', 'Water', 'Alarm', 'Built-in wardrobe', 'Built-in kitchen', 'Utility room', 'Video cable']",0,1,1,1,1,1,0,1,1,1,0,0,1,86400.0
12,,"Quezon City, Metro Manila",88000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-matandang-balara-metro-manila_b54eff8b22c0-d93f-e522-696e-a2be7089,RS000032,5.0,5.0,634.0,400 m2,,"5 Bedroom House for sale in Matandang Balara, Metro Manila",14.6717303,121.0926462,"Capitol Homes, Quezon City, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Security', 'Car park', 'Balcony', 'Equipped kitchen', 'Built-in wardrobe', 'Built-in kitchen']",0,0,1,1,1,0,0,0,1,1,0,0,0,138801.26
13,,"Quezon City, Metro Manila",15000000.0,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-milagrosa-metro-manila_975fe771beb1-839e-5ee2-4ca9-d21b7089,0192e87c-0fd5-7bb4-b061-8ebe822ba420,4.0,3.0,240.0,128 m2,2.0,"4 Bedroom House for sale in Milagrosa, Metro Manila",14.6207765,121.070773,"Project 4, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Car park', 'Garden', 'Balcony', 'Equipped kitchen', 'Electricity', 'Concierge', 'Library', 'Water', 'Patio', 'Built-in wardrobe', 'Cellar', 'Built-in kitchen', 'Office', 'Utility room']",1,0,1,1,1,0,1,0,1,0,0,0,1,62500.0
14,,"Quezon City, Metro Manila",49000000.0,https://www.dotproperty.com.ph/ads/7-bedroom-house-for-sale-in-bagong-silangan-metro-manila_0f811239d036-6a60-1552-cd6c-87b46089,24,7.0,7.0,515.0,265 m2,3.0,"7 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,0,1,1,1,1,1,1,1,1,1,1,1,95145.63
15,,"Quezon City, Metro Manila",185000000.0,https://www.dotproperty.com.ph/10-bedroom-house-for-sale-in-pasong-tamo-metro-manila_7163880,MANSION FOR SALE IN LOYOLA GRAND VILLAS,10.0,12.0,1500.0,"1,838 m2",3.0,"10 Bedroom House for sale in Pasong Tamo, Metro Manila",14.676041,121.0437,"218 Narra St, Quezon City, 1810 Metro Manila, Philippines","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Grill', 'Video cable']",1,0,0,0,1,0,1,1,1,1,0,0,0,123333.33
16,,"Quezon City, Metro Manila",158000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pasong-tamo-metro-manila_cf0c5f9216f2-cd3e-5442-486e-0cfa8089,"Prime 3 storey Brandnew Modern House with Swimming Pool, Elevator & view deck",5.0,8.0,900.0,496 m2,3.0,"5 Bedroom House for sale in Pasong Tamo, Metro Manila",14.6746752,121.0590176,"Mira-Nila Homes, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Alarm', 'Built-in wardrobe', 'Cellar', 'Grill', 'Guardhouse', 'Hot Tub', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,0,1,1,175555.56
17,,"Quezon City, Metro Manila",185000000.0,https://www.dotproperty.com.ph/8-bedroom-house-for-sale-in-matandang-balara-metro-manila_8417991,4fe756f9-ca4a-4f82-ade9-05649a359a55,8.0,8.0,1100.0,"1,120 m2",2.0,"8 Bedroom House for sale in Matandang Balara, Metro Manila",14.6710069,121.0944076,"Capitol Homes, Zurich Avenue, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Electricity', 'Water']",1,0,0,0,1,0,0,0,0,0,0,0,0,168181.82
18,,"Quezon City, Metro Manila",18500000.0,https://www.dotproperty.com.ph/ads/6-bedroom-house-for-sale-in-bagong-silangan-metro-manila_d98937bbf081-2ba0-cb88-5883-9e5c6805,HL0041-CK,6.0,5.0,400.0,227 m2,2.0,"6 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Car park', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Terrace', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Cistern']",1,0,1,1,1,1,0,0,1,0,0,1,1,46250.0
19,,"Quezon City, Metro Manila",45000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-holy-spirit-metro-manila_b07e89886435-a82e-b882-8909-92f66089,24,5.0,7.0,550.0,432 m2,2.0,"5 Bedroom House for sale in Holy Spirit, Metro Manila",14.6820706,121.0795105,"Holy Spirit Drive, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,0,1,1,1,1,0,1,1,1,1,1,1,81818.18
