title,location,price,price_per_sqm,url,listing_id,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Balcony,Built-in kitchen,Built-in wardrobe,Car park,Children's area,Cistern,Concierge,Electricity,Elevator,Equipped kitchen,Garden,Grill,Guardhouse,Gym,Heating,Hot Tub,Internet,Library,Natural gas,Office,Panoramic view,Patio,Roof garden,Sauna,Security,Swimming pool,Tennis court,Terrace,Utility room,Video cable,Water,Fireplace,Cellar
,"Quezon City, Metro Manila","₱ 160,000,000","(₱ 195,122 / m2)",https://www.dotproperty.com.ph/5-bedroom-house-for-sale-in-matandang-balara-metro-manila_9695117,153-HLFS-AH,5,5,820 m2,480 m2,,"5 Bedroom House for sale in Pansol, Metro Manila",14.6657894,121.0850216,"Ayala Heights, Ayala Heights Drive, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Concierge', 'Terrace', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Built-in kitchen', 'Video cable']",1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1.0,1.0
,"Quezon City, Metro Manila","₱ 78,000,000","(₱ 82,452 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-bagong-silangan-metro-manila_7c8b3c2a3264-70d0-e442-15e1-3f787089,44,5,7,946 m2,344 m2,3,"5 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1.0,1.0
,"Quezon City, Metro Manila","₱ 75,000,000","(₱ 187,500 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pansol-metro-manila_521a7d94d0de-2b9f-7cc2-54d0-f15c8089,DS88-001822,5,4,400 m2,502 m2,,"5 Bedroom House for sale in Pansol, Metro Manila",14.6544878,121.0862184,"Loyola Grand Villas, Soliven III Avenue, Quezon City, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 21,600,000","(₱ 86,400 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bahay-toro-metro-manila-near-lrt-1-roosevelt_47d6d7f407a0-2ab1-5b25-901d-d6444659,200257,4,3,250 m2,87 m2,3,"4 Bedroom House for sale in Bahay Toro, Metro Manila near LRT-1 Roosevelt",14.66280725,121.01792296,"Pangilinan Drive, Bahay Toro, Quezon City, Metro Manila, National Capital Region, PHL","['Swimming pool', 'Internet', 'Security', 'Car park', 'Balcony', ""Children's area"", 'Electricity', 'Water', 'Alarm', 'Built-in wardrobe', 'Built-in kitchen', 'Utility room', 'Video cable']",0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,,
,"Quezon City, Metro Manila","₱ 88,000,000","(₱ 138,801 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-matandang-balara-metro-manila_b54eff8b22c0-d93f-e522-696e-a2be7089,RS000032,5,5,634 m2,400 m2,,"5 Bedroom House for sale in Matandang Balara, Metro Manila",14.6717303,121.0926462,"Capitol Homes, Quezon City, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Security', 'Car park', 'Balcony', 'Equipped kitchen', 'Built-in wardrobe', 'Built-in kitchen']",0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 15,000,000","(₱ 62,500 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-milagrosa-metro-manila_975fe771beb1-839e-5ee2-4ca9-d21b7089,0192e87c-0fd5-7bb4-b061-8ebe822ba420,4,3,240 m2,128 m2,2,"4 Bedroom House for sale in Milagrosa, Metro Manila",14.6207765,121.070773,"Project 4, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Car park', 'Garden', 'Balcony', 'Equipped kitchen', 'Electricity', 'Concierge', 'Library', 'Water', 'Patio', 'Built-in wardrobe', 'Cellar', 'Built-in kitchen', 'Office', 'Utility room']",0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,,1.0
,"Quezon City, Metro Manila","₱ 49,000,000","(₱ 95,146 / m2)",https://www.dotproperty.com.ph/ads/7-bedroom-house-for-sale-in-bagong-silangan-metro-manila_0f811239d036-6a60-1552-cd6c-87b46089,24,7,7,515 m2,265 m2,3,"7 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1.0,
,"Quezon City, Metro Manila","₱ 185,000,000","(₱ 123,333 / m2)",https://www.dotproperty.com.ph/10-bedroom-house-for-sale-in-pasong-tamo-metro-manila_7163880,MANSION FOR SALE IN LOYOLA GRAND VILLAS,10,12,"1,500 m2","1,838 m2",3,"10 Bedroom House for sale in Pasong Tamo, Metro Manila",14.676041,121.0437,"218 Narra St, Quezon City, 1810 Metro Manila, Philippines","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Grill', 'Video cable']",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,
,"Quezon City, Metro Manila","₱ 158,000,000","(₱ 175,556 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pasong-tamo-metro-manila_cf0c5f9216f2-cd3e-5442-486e-0cfa8089,"Prime 3 storey Brandnew Modern House with Swimming Pool, Elevator & view deck",5,8,900 m2,496 m2,3,"5 Bedroom House for sale in Pasong Tamo, Metro Manila",14.6746752,121.0590176,"Mira-Nila Homes, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Alarm', 'Built-in wardrobe', 'Cellar', 'Grill', 'Guardhouse', 'Hot Tub', 'Office', 'Utility room', 'Video cable', 'Cistern']",0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,,1.0
,"Quezon City, Metro Manila","₱ 185,000,000","(₱ 168,182 / m2)",https://www.dotproperty.com.ph/8-bedroom-house-for-sale-in-matandang-balara-metro-manila_8417991,4fe756f9-ca4a-4f82-ade9-05649a359a55,8,8,"1,100 m2","1,120 m2",2,"8 Bedroom House for sale in Matandang Balara, Metro Manila",14.6710069,121.0944076,"Capitol Homes, Zurich Avenue, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Electricity', 'Water']",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
