title,location,price,price_per_sqm,url,listing_id,bedrooms,floor_area,land_area,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Car park,Concierge,Electricity,Elevator,Internet,Office,Security,Water,Built-in kitchen,Equipped kitchen,Garden,Guardhouse,Gym,Swimming pool,bathrooms,floor,Tennis court,Children's area,Library,Grill,Cistern,Video cable,Panoramic view
,"Quezon City, Metro Manila","₱ 14,500,000","(₱ 90,292 / m2)",https://www.dotproperty.com.ph/4-bedroom-commercial-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_8867559,02e03c51-5338-42dd-9329-f2bc781493c4,4,160.59 m2,63 m2,"4 Bedroom Commercial for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6177663,121.0571541,"Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,
,"Quezon City, Metro Manila","₱ 145,000","(₱ 1,318 / m2)",https://www.dotproperty.com.ph/ads/commercial-for-sale-or-rent-in-bagumbayan-metro-manila_936d8b003de1-7d40-bb88-3948-967558e5,4b144230-1506-11ee-95c2-8bc699e1c360,,110 m2,,"Commercial for Sale or Rent in Bagumbayan, Metro Manila",14.60527023,121.08114839,"Industria, Bagumbayan, Quezon City, Second District NCR, National Capital Region, PHL",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,
,"Quezon City, Metro Manila","₱ 50,000,000","(₱ 38,462 / m2)",https://www.dotproperty.com.ph/ads/42-bedroom-commercial-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_8ffa28a80081-1390-52c5-3ebd-a86880f7,2a91131f-ceb6-4d74-9068-81991f17faa1,42,"1,300 m2",270 m2,"42 Bedroom Commercial for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6177663,121.0571541,"Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Cistern']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,5,,,,,1.0,,
,"Quezon City, Metro Manila","₱ 14,500,000","(₱ 90,292 / m2)",https://www.dotproperty.com.ph/4-bedroom-commercial-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_8836401,b3c15aab-e1f4-4cdd-843d-b04ff4068d10,4,160.59 m2,63.06 m2,"4 Bedroom Commercial for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6177663,121.0571541,"Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Garden']",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,,,,,,,
,"Quezon City, Metro Manila","₱ 14,500,000","(₱ 90,292 / m2)",https://www.dotproperty.com.ph/4-bedroom-commercial-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_8864639,2eabcb8c-849d-41ea-a633-46628d0779a0,4,160.59 m2,63.06 m2,"4 Bedroom Commercial for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6177663,121.0571541,"Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Garden']",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3,,,,,,,
,"Quezon City, Metro Manila","₱ 16,065,399","(₱ 245,536 / m2)",https://www.dotproperty.com.ph/ads/commercial-for-sale-in-fairview-metro-manila_de93254ed3e0-1340-5bc5-4458-32250802,LRH-T1U102-65-43SQM-COMMERCIAL-GMR-COMMONWEALTH,,65.43 m2,,"Commercial for sale in Fairview, Metro Manila",14.7062007,121.0732107,"Watsons Pearl Drive Commonwealth, Pearl, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Security', 'Car park', 'Garden', 'Tennis court', ""Children's area"", 'Concierge', 'Library', 'Access for the disabled', 'Grill', 'Cistern']",1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,,1,1.0,1.0,1.0,1.0,1.0,,
,"Quezon City, Metro Manila","₱ 16,065,399","(₱ 245,536 / m2)",https://www.dotproperty.com.ph/ads/commercial-for-sale-in-fairview-metro-manila_c2f9e5dde142-f2e1-1ec5-e222-343317d8,LRH-T1U102-65-43SQM-COMMERCIAL-GMR-COMMONWEALTH,,65.43 m2,,"Commercial for sale in Fairview, Metro Manila",14.7062007,121.0732107,"Watsons Pearl Drive Commonwealth, Pearl, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Security', 'Car park', 'Garden', 'Tennis court', ""Children's area"", 'Concierge', 'Library', 'Access for the disabled', 'Grill', 'Cistern']",1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,,1,1.0,1.0,1.0,1.0,1.0,,
,"Quezon City, Metro Manila","₱ 41,400,000","(₱ 90,000 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-commercial-for-sale-in-culiat-metro-manila_ff39afa04fb3-4b8f-9472-99f3-3d767089,019232c6-6a00-7250-a1e5-6ea59faf06aa,2,460 m2,460 m2,"2 Bedroom Commercial for sale in Culiat, Metro Manila",14.6643635,121.045044,"1 Morning Star Drive, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,
,"Quezon City, Metro Manila","₱ 285,000,000","(₱ 71,250 / m2)",https://www.dotproperty.com.ph/ads/21-bedroom-commercial-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_665cff68909e-e66e-a9a5-ed34-47bd2054,5497ce25-56cb-4f0f-b33b-b09013aad433,21,"4,000 m2","1,553 m2","21 Bedroom Commercial for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6177663,121.0571541,"Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,,,,,,,
,"Quezon City, Metro Manila","₱ 130,000,000","(₱ 92,857 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-commercial-for-sale-in-pasong-tamo-metro-manila_3539cc018214-41ee-3635-04a0-8e0b999d,TG-SM284-1A,2,"1,400 m2","1,851 m2","2 Bedroom Commercial for sale in Pasong Tamo, Metro Manila",14.6760413,121.0437003,"Quezon City, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,
