title,location,price,price_per_sqm,url,listing_id,bedrooms,bathrooms,floor_area,floor,name,latitude,longitude,address,facilities,Swimming pool,Air conditioning,Gym,Internet,Security,Car park,Garden,Balcony,Tennis court,Children's area,Equipped kitchen,Electricity,Concierge,Elevator,Roof garden,Water,Alarm,Access for the disabled,Guardhouse,Built-in kitchen,Utility room,Video cable,Patio,Cistern,Panoramic view,Library,Terrace,Heating,Fireplace,Built-in wardrobe,Cellar,Grill,Hot Tub,Natural gas,Office,Sauna
,"Quezon City, Metro Manila","₱1,550,000.00","(₱ 13,305 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-bagumbayan-metro-manila_5a81afc673ad-e740-6ba8-650c-927664eb,ELG2DUNIT,2,2,116.5 m2,8888,"2 Bedroom Condo for sale in Bagumbayan, Metro Manila",14.6075776,121.0818933,"Eastwood Le Grand Tower 2, Economia Road, Bagumbayan, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Elevator', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Built-in wardrobe', 'Access for the disabled', 'Guardhouse', 'Built-in kitchen', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0
,"Quezon City, Metro Manila","₱6,800,000.00","(₱ 123,636 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-obrero-metro-manila_72eef8711d05-e87f-8aa2-48e0-491a7089,0192f805-9b15-7ff1-a21b-49c8821abb72,2,,55 m2,15,"2 Bedroom Condo for sale in Obrero, Metro Manila",14.628033,121.0317033,"Viera Residences, Sct. Tuason Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Gym', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Library', 'Elevator', 'Roof garden', 'Alarm']",1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,,,,1.0,,,,,,,,,,
,"Quezon City, Metro Manila","₱7,800,000.00","(₱ 95,122 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-condo-for-sale-in-talipapa-metro-manila_e2279dc618d9-d27e-0a85-b796-4a9e3e2d,DS88-002209,3,2,82 m2,,"3 Bedroom Condo for sale in Talipapa, Metro Manila",14.6819015,121.0230091,"Ivy Building, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Car park', 'Garden']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱5,500,000.00","(₱ 134,146 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-quezon-city-metro-manila_34989873ac3a-a7ee-ff75-d61d-c8bc3e47,25b6de1d-c83c-42aa-bb2f-f6df62101056,2,1,41 m2,,"2 Bedroom Condo for sale in Quezon City, Metro Manila",14.6388061,121.0547547,"55 Kalayaan Suites, Kalayaan Avenue, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱6,000,000.00","(₱ 150,000 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-valencia-metro-manila-near-lrt-2-gilmore_c35551d24867-857f-10f5-cef0-28373db9,0ec62617-9abd-4a98-a241-23157c84446d,1,1,40 m2,,"1 Bedroom Condo for sale in Valencia, Metro Manila near LRT-2 Gilmore",14.6107601,121.0348455,"One Castilla Place, Castilla, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱17,000,000.00","(₱ 229,730 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-loyola-heights-metro-manila-near-lrt-2-katipunan_ef3b5db61fb6-f581-9c25-a8d8-72685a64,DS88-002277,2,2,74 m2,,"2 Bedroom Condo for sale in Loyola Heights, Metro Manila near LRT-2 Katipunan",14.6320478,121.0753503,"The Arton by Rockwell, Aurora Boulevard, Quezon City, Kalakhang Maynila, Pilipinas","['Car park', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,,,,,,1.0,,,,,,
,"Quezon City, Metro Manila","₱3,499,999.00","(₱ 97,222 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-or-rent-in-bagumbayan-metro-manila_1b13d6a6db3d-783e-22a5-f740-a642a672,723f753f-952a-4f77-b612-c6ec3f3c68e8,1,1,36 m2,30,"1 Bedroom Condo for Sale or Rent in Bagumbayan, Metro Manila",14.6110673,121.0808705,"One Orchard Road, Eastwood City, Bagumbayan, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Security', 'Car park', 'Garden']",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱10,000,000.00","(₱ 254,259 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-shang-summit-south-triangle-metro-manila-near-mrt-3-kamuning_6699284a7415-be30-8992-b7b0-f6607089,Shang Summit-1,1,1,39.33 m2,,Shang Summit,14.636312,121.039374,,"['Swimming pool', 'Gym', 'Security', ""Children's area"", 'Elevator']",1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱8,600,800.00","(₱ 212,365 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-mira-san-roque-metro-manila-near-lrt-2-anonas_7db05f7354f1-687f-92d5-f2be-02a2ffb4,PAHC07042024-404,1,1,40.5 m2,,MIRA,14.623167,121.059649,,"['Gym', 'Security', ""Children's area"", 'Elevator']",0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱3,950,000.00","(₱ 101,282 / m2)",https://www.dotproperty.com.ph/ads/condo-for-sale-in-bagumbayan-metro-manila_533bc8209bbf-de60-2772-63e6-b0436089,EL3-10A,,1,39 m2,10,"Condo for sale in Bagumbayan, Metro Manila",14.6090652,121.0792362,"Eastwood Lafayette 3, Orchard Road, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Gym', 'Security', 'Electricity', 'Concierge', 'Elevator', 'Water', 'Alarm', 'Built-in kitchen']",0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,
