title,price,location,description,bedrooms,bathrooms,subcategories,rooms_total,floor_area,land_size,listing_url,listing_id,geo_location,car_spaces,classification,subdivision_name
"4-Storey Residential Building for Sale in San Francisco Del Monte, Quezon City",54900000,"Del Monte, Quezon City","Code: CP-WS

Welcome to San Francisco Del Monte !

A beautifully maintained four-floor home featuring a rooftop with breathtaking 360-degree cityscape views.

This property has a total of 6 rental units
Each unit is around 40+ sqm with 2 bedrooms, 1 bathroom, a living area, dining area, kitchen, and utility area
On the 1st and 2nd floors, plus a spacious private residence (120+ sqm with 3 bedrooms, 2 bathrooms, a balcony, storage area, living area, dining area, kitchen, and outdoor fish pond) on the whole 3rd floor. The rooftop on the 4th floor has a guest room with an ensuite full bathroom and a basketball court (half-court) overlooking the grotto and garden on the 3rd floor.
The rooftop offers a full 360-degree view of the city. The property has 2 separate gates/entrances – one for the private residence and the other for the rental units. The garage can accommodate 3 vehicles.
A guard house has been built for added security. There’s also provision for an elevator from the ground floor up to the 4th floor.
Easy access to major roads and public transportation is only a short walking distance away – 200 meters to Roosevelt Avenue and 800 meters to EDSA

Other details:
Flood-free area
Strong water pressure
16 bedrooms
9 bathrooms
3 car garage
2 motorcycle garage
Lot area 201 sqm
Floor area 698 sqm


Near:
Fisher Mall
Roosevelt Avenue
EDSA
Muñoz Market
Waltermart Muñoz
SM City North EDSA
Trinoma
S & R Membership Shopping
Landers Superstore


*** BUY / SELL your property through us !

Visit us at the Lower Ground Level, Robinsons Galleria, EDSA corner Ortigas Avenue, Ortigas Center, Quezon City",16,9,"apartment, apartments",N/A,698,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/4-storey-residential-building-for-sale-in-san-fran-168455429684/,AP64684238A0B9EPH,"[121.014874,14.643229]",N/A,N/A,N/A
4 Units Townhouse along Maligaya St Novaliches Quezon City for Sale,30000000,"Novaliches, Quezon City","FOR SALE: 4-unit Townhouse in Novaliches Quezon City  The Entrance is along MALIGAYA ST. Right beside Bloomfields Subdivision by Robinsons Fronting Ayala Malls Fairview Terraces Near SM City Fairview & Robinsons Novaliches  DETAILS PER UNIT:  Lot Area: 60 sqm (6x10) Floor Area: 150 sqm (more or less) 2 Storey with Attic (approx. 30 sqm Attic Area) 3 bedrooms 3 Toilet & Bath (1 per floor) 1 Storage Area 1 Car Garage  PRICE: 7.5M per Unit (Selling as a whole or 30M for the 4 Units)  For more details, please contact:  CHARMAINE BATALLER PRC REBL #0020147 REB | REA | ENP   MARK 11:24: Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours.",12,12,"apartment, apartments",N/A,600,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/4-units-townhouse-along-maligaya-st-novaliches-que-172714192967/,AP66F21829AB513PH,"[121.0521,14.7214]",N/A,N/A,N/A
Apartment For Sale in Quezon City-MC,6500000,Quezon City,"***APARTMENT FOR SALE***
   (Newly Renovated)

Location: Quezon City, Manila


APARTMENT DETAILS:
*Lot Area: 38sqm
*Floor Area: 94sqm
*5 Studio Units
*5 CR
*Sub meters for electricity & water
*No Parking

*6mins walk to aurora blvd
*10mins walk to Anonas LRT Station
*Near Schools, market within a 5-10mins walk


SELLING PRICE: PHP6,500,00/NET",5,N/A,"apartment, room",N/A,94,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/apartment-for-sale-in-quezon-city-mc-173129657185/,AP67317D3B776EEPH,"[121.0443089,14.6621443]",N/A,N/A,N/A
3 Door apartment Building for sale in Quezon City,30000000,"La Loma, Quezon City","3 DOOR OLD APARTMENT BUILDING FOR SALE IN QUEZON CITY  Location: La Loma, Quezon City ---------  Lot Area: 284.2 sqm Price: 39M  Reprice: 34M Reprice now: 30M  ------------------ *If you want to know the fair market value of your property, we do appraisal services, valuation, and consultancy within 5-7 days.  For more inquiries feel free to contact us; Alan and Gina Baldovino Licensed Real Estate Broker, Appraiser, and Consultant  For clients outside the Philippines please contact us through Viber.   The Potter's Hand Realty We make real estate real simple",3,N/A,"apartment, apartments",N/A,N/A,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/3-door-apartment-building-for-sale-in-quezon-city-170833165937/,LA65D3128BB6355PH,"[120.9933,14.62769]",N/A,N/A,N/A
"7 Rooms Apartments for Sale in Mindanao Ave., Quezon City, Metro Manila",25000000,"Congressional Avenue, Quezon City","Rush Sale!! Apartment business for sale in Quezon City  Location: Mindanao Ave., Quezon City --------- 4 apartments - 15K 2 apartments - 10K 1 apartment - 30K Total monthly income - 110K  estimated Floor area: 800sq.m Lot area: 297sq.m Price: 28M Reprice: 25M ---------- *If you want to know the fair market value of your property, we do appraisal services, valuation, and consultancy within 5-7 days.  For more inquiries feel free to contact us; Alan and Gina Baldovino Licensed Real Estate Broker, Appraiser, and Consultant  For clients outside the Philippines please contact us.    Potters’ Hand We make real estate real simple",7,N/A,"apartment, apartments",N/A,800,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/7-rooms-apartments-for-sale-in-mindanao-ave-quezon-170850008650/,CO643CF341AEB8EPH,"[121.031,14.66588]",N/A,N/A,N/A
"3 Door old Apartment Building for sale in La Loma, Quezon City",34000000,"La Loma, Quezon City","3 DOOR OLD APARTMENT BUILDING FOR SALE IN QUEZON CITY

Location: La Loma, Quezon City
---------

Lot Area: 284.2 sqm
Price: 39M
Reprice: 34M
------------------
*If you want to know the fair market value of your property, we do appraisal services, valuation, and consultancy within 5-7 days.

For more inquiries feel free to contact us;
Alan and Gina Baldovino
Licensed Real Estate Broker, Appraiser, and Consultant

The Potter&apos;s Hand Realty
We make real estate real simple",1,N/A,"apartment, apartments",N/A,N/A,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/3-door-old-apartment-building-for-sale-in-la-loma-17089159358/,LA65DBFCDFEB7FBPH,"[120.9933,14.62769]",N/A,N/A,N/A
"4-storey Residential Building with 26 Units FOR SALE in Kamuning, Quezon City",85000000,"Kamuning, Quezon City","FOR SALE  New 4-Storey Kamuning Residential Commercial Building with Basement and Roof Deck Near Edsa   Lot area: 200 sqm Floor area: 1200 sqm 1st & 2nd floor: 8 units, Studio w/ T&B per floor 3rd & 4th floor: 3 Units 1BR & 2 Units Studio per floor Total Units: 26 Basement Parking: 8 Car Garage & 10-15 Motorcycle Parking 2 Car Outside Parking   Selling Price: 85M Gross  Betty Ongsiaco Gorospe RE/MAX Capital PRC RES License No. 16330",26,26,"apartment, apartments",N/A,1200,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/4-storey-residential-building-with-26-units-for-sa-171481313943/,AP6635F8D3B804BPH,"[121.038526,14.62746]",N/A,N/A,N/A
"Newly Renovated Apartment Unit High Ceiling and Bright For Sale, Quezon City",18000000,"G. Araneta Avenue, Quezon City","NEWLY RENOVATED APARTMENT UNIT.  HIGH CEILING and BRIGHT.  

Across SM MEZZA RESIDENCES
Near SM CENTERPOINT

Lot area : 140 sqm
Floor area : 280 sqm

1 bedroom with balcony - Mezzanine
3 bedrooms - 2nd floor
3 Toilets & Baths
1 Storage room
1 maid’s room with T/B
Small backyard
1 basement parking

Selling price: P18,000,000.00
Let us assist you on your real estate requirements
*Prices and availability subject to change without prior notice.",3,N/A,"apartment, apartments",N/A,280,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/newly-renovated-apartment-unit-high-ceiling-and-br-170065042625/,AP655DA4483E6C5PH,"[121.0154,14.62435]",N/A,N/A,N/A
"Rush For Sale Prime Residential Apartment in Cubao, Quezon City",63000000,"Cubao, Quezon City","Rush For Sale Prime Residential Cubao Best for Investors or End Use  La Salle St. With 14 Studio Residential Units With Monthly Income Newly Renovated , Very Good Investment  Lot Area 488 sqm Lot Area approx 800 sqm Very secured and walking distance to commercial  Allow 3 days notice prior to viewing date  Asking Price P 63,000,000. Gross Slightly Negotiable  Apartment property For Sale in Cubao, Quezon City, Metro Manila",14,14,"apartment, apartments",N/A,488,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/rush-for-sale-prime-residential-apartment-in-cubao-169024429445/,AP64A41CA6A552CPH,"[121.0572,14.61777]",N/A,N/A,N/A
"Apartment Building For Sale in Mindanao Avenue, Quezon City",25000000,"Tandang Sora, Quezon City","Rush Sale!! Apartment business for sale in Quezon City  Location: Mindanao Ave., Quezon City --------- 4 apartments - 15K 2 apartments - 10K 1 apartment - 30K Total monthly income - 110K  estimated Floor area: 800sq.m Lot area: 297sq.m Price: 28M Reprice: 25M ---------- *If you want to know the fair market value of your property, we do appraisal services, valuation, and consultancy within 5-7 days.  For more inquiries feel free to contact us; Alan and Gina Baldovino Licensed Real Estate Broker, Appraiser, and Consultant  For clients outside the Philippines please contact us.   Potters’ Hand We make real estate real simple",6,N/A,"apartment, apartments",N/A,800,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/apartment-building-for-sale-in-mindanao-avenue-que-169657525782/,CO651E5A282DB14PH,"[121.042788,14.6820013]",N/A,N/A,N/A
